keyword,location,text
bombed,,The place where these children once called home is no more after being bombed by #Assad and #Putin. We are so lucky they are…
ablaze,"Salta, Argentina","This love is so completely crazy. You've been fucking with my dreams, ripped me like your torn up jeans. I don't ev… https://t.co/GCVYW5eZkb"
dust%20storm,,"Just ran into Amy after a dust storm. They said to be wary, as they heard there's a Shambling Fanger in the arena."
fear,,"stop feeding my fear of the future @ sociology teacher,,,,,"
violent%20storm,,We are not crazy. We are not violent. We just aren’t who [THEY] want us to be. SHEEP NO MORE! We are TRUTH seeking Patriots…
annihilated,"Florida, USA",Thot Status: Annihilated
body%20bagging,CA.,This is...wrong. I adore Weili but Amanda has been body bagging other women for close to 4 years now. There's only… https://t.co/UtrMmXnga3
mass%20murder,"Medicine Hat , Alberta ",Let’s not politicize the mass murder of 57 Canadians by the Iranian regime.
obliteration,"Berkeley, CA",OBLITERATION OF THE SELF https://t.co/vWp2vOWJT0
buildings%20on%20fire,Usually NJ. sometimes LI/NY!,Demolition has begun on the burned out buildings in #BoundBrook. Slow process. Investigation into how/where it st… https://t.co/myA1JIwQXu
suicide%20bomb,,what if her plan is to suicide bomb bernie for a VP or cabinet spot in a biden administration
injuries,"Los Angeles, CA","Wherein ⁦⁩ does much better reporting than JAMA surgery. Remember if you want to understand cities, don’…"
emergency%20services,,"Basildon Council ""Due to essential maintenance work, our emergency out-of-hours telephone number &amp; some website onl… https://t.co/yyJ7E91eVc"
emergency,,"#AdoreYou by #SEVENTEEN I call this my emergency medicine, their cuteness cure everything 😫🥺 011220 #OdeToYouinCHI h…"
sinkhole,"Four Oaks, England",China sinkhole: Six killed as ground swallows bus https://t.co/3TCoFIJqor
airplane%20accident,West coast True north  i stan juggalos,"Had a look at your timeline, i see you hate my coun… https://t.co/30cMQ9gsPj"
hail,,My Animal Crossing Neighbors when I try to talk to them https://t.co/Yezn6r7wC8
heat%20wave,"Los Angeles, Ann Arbor",Reminds me of the book Heat Wave by Eric Klinenberg as well as this NYT article about Los Angeles.… https://t.co/6xUWBIjd7D
tragedy,,"Zulaikha's son, an ambulance driver in Faryab, was killed 6 years ago in a suicide attack. She still goes to his workp…"
windstorm,,The windstorm graphic for tomorrow's unnamed system has been updated. The effects are expected to remain the same with 50-60mph…
rescuers,"Pasadena, CA","Our family's grown by 4-paws. Meet Archer, a 1-yr-old Aussie from MO. Thx to his rescuers from #Autralianshepherdsfurever…"
dead,not here on earth,bitch am dead asss here JANAJAHAHAHAHAHAHAHAHAHAH
drown,,"Another childish insult I see. First bag of milk, second poutine, w… https://t.co/D605TNYqLc"
heat%20wave,Worldwide,I wouldn't trust any of these companies to look after a pet in a heat wave - there needs to be an overhaul when ani… https://t.co/M3VUvOUWh7
nuclear%20disaster,The America's.,Latest: Return To Fukushima: Inside Ground Zero Nearly Nine Years After Nuclear Disaster | NBC Nightly News https://t.co/9pMDNR4Ykp
hostages,,The world is facing the worst types of crimes against humanity committed by a Mullah mafia supprted by Democrats. The Islam…
damage,Oakham,"⬆ CORRECTION: The report of criminal damage was on the A6006, heading towards Melton, not the A6006 towards Oakham. ⬆"
war%20zone,49504,"Unless you have served in a war zone or have family who have/are serving, then just shut up! Congressman G…"
police,"Nashik, India","Police Inspector Nilesh Mainkar , Senior Police Inspector Fuldas Bhoye &amp; Psi Mundhe , Principal Choudhary mam &amp; T… https://t.co/UVVYYSqlJ5"
weapon,,Never underestimate the power of validating other people’s feelings. Validation creates a safe zone for the threatened. Ins…
loud%20bang,,I heard a loud as bang and then my Internet went lmao
drowning,"Cork, Ireland","The world is drowning in debt - However, HM &amp; ministr assure us that #Ireland is 'grand'; unle…"
bioterror,,https://t.co/OviHLPPiHH Interesting from Jon Rappoport.
sinkhole,my house.,A sinkhole in china kill six passengers on a public bus...... BBC who is writing your headlines
hijacking,"California, USA","Along w/ the US Treas Dept taking the people's money and manipulating up the stock market, the Fed hija…"
burning,,The German government to outlaw the burning of Israel’s flag along with flags of all nations in response to a series of an…
attack,,"If 0bama was still POTUS, the ChiComs would’ve stolen the presidency. Cuz no one in O’s administration would help Taiwa…"
sunk,"British Columbia, Canada",So the supreme leader in Saudi Arabia has really sunk their economy by doing murder hasn’t he? He’ll… https://t.co/5jtTabegvS
danger,Canberra,"Can anyone believe the cheek of calling a bushfires inquiry?! For g sake, the recommendations of the…"
mass%20murderer,,Funny how it's ONLY the American democrats that are bashing Trump publicly for…
catastrophe,global,is this true? Please resign as my city is choking from climate catastrophe.
destruction,"Hyderabad, Telangana, India",Destruction by avalanches in Kashmir. Around 47 civilians killed in Neelum area of PoK. 3 Indian Armymen killed Machil sec…
sirens,UK,"Australia bushfires are harbinger of planet’s future, say scientists Apocalyptic scenes give glimpse of what would be normal…"
flattened,Heavenly Places in Yeshua,"Grandmother’s prayer closet survives powerful tornado that flattened home, killed many https://t.co/dqvrNrA9VA"
demolished,,"Bill Brandt: ‘In the Public Bar, at Charlie Brown's, Limehouse c. 1942’ Aka the Railway Tavern the pub was on the corner of Ga…"
derail,./,"Meta meta will as usual derail in his despotic address, no meaningful address."
trapped,In My Own Lane,Ya niggas sold drugs for studio time ...me and my niggas trapped so we can eat from when we came from outside 😤😤😤
